"label","nombre","circunscripcion"
"Senado 2018-2022","Carlos Eduardo Guevara Villabón","Bogotá"
"Senado 2018-2022","Honorio Miguel Henríquez Pinedo","Magdalena"
"Senado 2018-2022","Paola Andrea Holguín Moreno","Antioquia"
"Senado 2018-2022","Germán Darío Hoyos Giraldo","Antioquia"
"Senado 2018-2022","Carlos Abraham Jiménez López","Valle del Cauca"
"Senado 2018-2022","Rodrigo Lara Restrepo","Huila"
"Senado 2018-2022","Juan Felipe Lemos Uribe","Antioquia"
"Senado 2018-2022","Aydeé Lizarazo Cubillos","Quindio"
"Senado 2018-2022","Didier Lobo Chinchilla","Cesar"
"Senado 2018-2022","Griselda Lobo Silva","Santander"
"Senado 2018-2022","Jorge Eduardo Londoño Ulloa","Boyacá"
"Senado 2018-2022","Alexánder López Maya","Valle del Cauca"
"Senado 2018-2022","José Ritter López Peña","Valle del Cauca"
"Senado 2018-2022","Angélica Lozano Correa","Bogotá"
"Senado 2018-2022","Ernesto Macías Tovar","Huila"
"Senado 2018-2022","Maritza Martínez Aristizábal","Meta"
"Senado 2018-2022","Luis Iván Marulanda Gómez","Risaralda"
"Senado 2018-2022","Carlos Manuel Meisel Vergara","Atlántico"
"Senado 2018-2022","Carlos Felipe Mejía Mejía","Caldas"
"Senado 2018-2022","Juan Samy Merheg Marun","Risaralda"
"Senado 2018-2022","Carlos Fernando Motoa Solarte","Bogotá"
"Senado 2018-2022","José David Name Cardozo","Atlántico"
"Senado 2018-2022","Iván Leónidas Name Vázquez","Bogotá"
"Senado 2018-2022","Temístocles Ortega Narváez","Cauca"
"Senado 2018-2022","Sandra Liliana Ortiz Nova","Boyacá"
"Senado 2018-2022","Eduardo Emilio Pacheco Cuello","Bogotá"
"Senado 2018-2022","Edgar Enrique Palacio Mizrahi","Atlántico"
"Senado 2018-2022","Manuel Bitervo Palchucan Chingal","Nariño"
"Senado 2018-2022","Myriam Alicia Paredes Aguirre","Nariño"
"Senado 2018-2022","José Luis Pérez Oyuela","Santander"
"Senado 2018-2022","Nicolás Pérez Vásquez","Antioquia"
"Senado 2018-2022","Gustavo Francisco Petro Urrego","Bogotá"
"Senado 2018-2022","Miguel Ángel Pinto Hernández","Santander"
"Senado 2018-2022","José Aulo Polo Narváez","Nariño"
"Senado 2018-2022","Eduardo Enrique Pulgar Daza","Atlántico"
"Senado 2018-2022","Ciro Alejandro Ramírez Cortés","Boyacá"
"Senado 2018-2022","Jorge Enrique Robledo Castillo","Caldas"
"Senado 2018-2022","Emma Claudia Rodríguez de Castellanos","Bogotá"
"Senado 2018-2022","Jhon Milton Rodríguez González","Valle del Cauca"
"Senado 2018-2022","Roosvelt Rodríguez Rengifo","Valle del Cauca"
"Senado 2018-2022","Antonio Eresmid Sanguino Páez","Bogotá"
"Senado 2018-2022","Horacio José Serpa Moncada","Bogotá"
"Senado 2018-2022","Judith Simanca Herrera","Córdoba"
"Senado 2018-2022","John Harold Suárez Vargas","Valle del Cauca"
"Senado 2018-2022","Jonatan Tamayo Pérez","Antioquia"
"Senado 2018-2022","Pablo Catatumbo  Torres Victoria","Valle del Cauca"
"Senado 2018-2022","Carlos Andrés Trujillo González","Antioquia"
"Senado 2018-2022","Álvaro Uribe Vélez","Antioquia"
"Senado 2018-2022","Santiago Valencia González","Bogotá"
"Senado 2018-2022","Paloma Valencia Laserna","Bogotá"
"Senado 2018-2022","Feliciano Valencia Medina","Cauca"
"Senado 2018-2022","Germán Varón Cotrino","Bogotá"
"Senado 2018-2022","Luis Fernando Velasco Chaves","Cauca"
"Senado 2018-2022","Gabriel Jaime Velasco Ocampo","Valle del Cauca"
"Senado 2018-2022","Rodrigo Villalba Mosquera","Huila"
"Senado 2018-2022","Antonio Luis Zabaraín Guevara","Magdalena"
"Senado 2018-2022","Berner León Zambrano Erazo","Nariño"
"Senado 2018-2022","Israel Alberto Zuñiga Iriarte","Atlántico"
