"label","nombre","circunscripcion"
"Representantes 2018-2022","Alejandro Carlos Chacón Camargo","Norte de Santander"
"Representantes 2018-2022","Luis Fernando Gómez Betancurt","Caldas"
"Representantes 2018-2022","Nilton Córdoba Manyoma","Chocó"
"Representantes 2018-2022","Félix Alejandro Chica Correa","Caldas"
"Representantes 2018-2022","Henry Fernando Correal Herrera","Vaupés"
"Representantes 2018-2022","Jairo Giovany Cristancho Tarache","Casanare"
"Representantes 2018-2022","Jairo Humberto Cristo Correa","Norte de Santander"
"Representantes 2018-2022","Alfredo Cuello Baute","Cesar"
"Representantes 2018-2022","Carlos Alberto Cuenca Chaux","Guainía"
"Representantes 2018-2022","Karen Violette Cure Corcione","Bolívar"
"Representantes 2018-2022","José Daniel López Jiménez","Bogotá"
"Representantes 2018-2022","Franklin Del Cristo Lozano de la Ossa","Magdalena"
"Representantes 2018-2022","Alonso José Del Río Cabarcas","Bolívar"
"Representantes 2018-2022","Alfredo Rafael Deluque Zuleta","La Guajira"
"Representantes 2018-2022","Jimmy Harold Diaz Burbano","Putumayo"
"Representantes 2018-2022","Elbert Díaz Lozano","Valle del Cauca"
"Representantes 2018-2022","Edwing Fabián Díaz Plata","Santander"
"Representantes 2018-2022","Juan Diego Echavarría Sánchez","Antioquia"
"Representantes 2018-2022","Nicolás Albeiro Echeverry Alvarán","Antioquia"
"Representantes 2018-2022","Teresa De Jesus Enríquez Rosero","Nariño"
"Representantes 2018-2022","Juan Fernando Espinal Ramírez","Antioquia"
"Representantes 2018-2022","Hernán Gustavo Estupiñan Calvache","Nariño"
"Representantes 2018-2022","Carlos Mario Farelo Daza","Magdalena"
"Representantes 2018-2022","Ciro Fernández Núñez","Santander"
"Representantes 2018-2022","Ricardo Alfonso Ferro Lozano","Tolima"
"Representantes 2018-2022","Ángel María Gaitán Pulido","Tolima"
"Representantes 2018-2022","Christian Munir Garces Aljure","Valle del Cauca"
"Representantes 2018-2022","Gloria Betty Zorro Africano","Cundinamarca"
"Representantes 2018-2022","Atilano Alonso Giraldo Arboleda","Quindio"
"Representantes 2018-2022","Ángela Patricia Sánchez Leal","Bogotá"
"Representantes 2018-2022","José Luis Correa López","Caldas"
"Representantes 2018-2022","Jorge Alberto Gómez Gallego","Antioquia"
"Representantes 2018-2022","Adriana Gómez Millán","Valle del Cauca"
"Representantes 2018-2022","Édgar Alfonso Gómez Román","Santander"
"Representantes 2018-2022","Kelyn Johana González Duarte","Magdalena"
"Representantes 2018-2022","Harry Giovanny González García","Caquetá"
"Representantes 2018-2022","Luciano Grisales Londoño","Quindio"
"Representantes 2018-2022","Hernando Guida Ponce","Magdalena"
"Representantes 2018-2022","José Elver Hernández Casas","Tolima"
"Representantes 2018-2022","Anatolio Hernandez Lozano","Guainía"
"Representantes 2018-2022","Enrique Cabrales Baquero","Bogotá"
"Representantes 2018-2022","John Jairo Hoyos García","Valle del Cauca"
"Representantes 2018-2022","Norma Hurtado Sánchez","Valle del Cauca"
"Representantes 2018-2022","Elizabet Jai-Pang Diaz","San Andres y Providencia"
"Representantes 2018-2022","Abel David Jaramillo Largo","Indígenas"
"Representantes 2018-2022","Milene Jarava Díaz","Sucre"
"Representantes 2018-2022","Wilmer Leal Pérez","Boyacá"
"Representantes 2018-2022","Hernán Humberto Garzón Rodriguez","Cundinamarca"
"Representantes 2018-2022","Óscar Tulio Lizcano González","Caldas"
"Representantes 2018-2022","Gustavo Londoño García","Vichada"
"Representantes 2018-2022","Juan Manuel Daza Iguaran","Bogotá"
"Representantes 2018-2022","Nubia López Morales","Santander"
"Representantes 2018-2022","César Augusto Lorduy Maldonado","Atlántico"
"Representantes 2018-2022","Jaime Felipe Lozada Polanco","Huila"
"Representantes 2018-2022","Edward David Rodríguez Rodríguez","Bogotá"
"Representantes 2018-2022","Jorge Enrique Burgos Lugo","Córdoba"
"Representantes 2018-2022","César Eugenio Martínez Restrepo","Antioquia"
"Representantes 2018-2022","Adriana Magali Matiz Vargas","Tolima"
"Representantes 2018-2022","Aquileo Medina Arteaga","Tolima"
"Representantes 2018-2022","Jorge Méndez Hernández","San Andres y Providencia"
"Representantes 2018-2022","Gabriel Santos García","Bogotá"
"Representantes 2018-2022","Rubén Darío Molano Piñeros","Cundinamarca"
"Representantes 2018-2022","Álvaro Henry Monedero Rivera","Valle del Cauca"
"Representantes 2018-2022","Emeterio José Montes de Castro","Bolívar"
"Representantes 2018-2022","Astrid Sánchez Montes de Oca","Chocó"
"Representantes 2018-2022","Christian José Moreno Villamizar","Cesar"
"Representantes 2018-2022","Faber Alberto Muñoz Cerón","Cauca"
"Representantes 2018-2022","Felipe Andrés Muñoz Delgado","Nariño"
"Representantes 2018-2022","León Fredy Muñoz Lopera","Antioquia"
"Representantes 2018-2022","Jhon Arley Murillo Benítez","Afrocolombianos"
"Representantes 2018-2022","José Jaime Uscátegui Pastrana","Bogotá"
"Representantes 2018-2022","Víctor Manuel Ortiz Joya","Santander"
